Date,Company,R&D_Spending_USD_Mn,AI_Revenue_USD_Mn,AI_Revenue_Growth_%,Event,Stock_Impact_%
2015-04-01,OpenAI,6.27,0.8,-20.29,,-0.89
2015-04-02,OpenAI,6.7,0.85,-15.38,,0.19
2015-04-03,OpenAI,5.43,1.8,80.31,,-0.41
2015-04-04,OpenAI,4.94,1.09,8.67,,-0.56
2015-04-05,OpenAI,5.77,1.0,-0.48,,0.41
2015-04-06,OpenAI,4.76,1.41,41.34,,0.92
2015-04-07,OpenAI,4.17,1.01,1.23,,-0.79
2015-04-08,OpenAI,4.98,0.52,-48.34,,-0.86
2015-04-09,OpenAI,4.8,-0.25,-125.5,,-0.56
2015-04-10,OpenAI,4.29,1.21,20.93,,-0.38
2015-04-11,OpenAI,5.68,0.46,-54.26,,-0.82
2015-04-12,OpenAI,6.17,1.52,52.27,,0.64
2015-04-13,OpenAI,5.09,1.13,13.09,,0.14
2015-04-14,OpenAI,4.24,0.58,-42.23,,-0.02
2015-04-15,OpenAI,5.02,1.4,39.55,,0.49
2015-04-16,OpenAI,4.5,1.44,44.24,,0.21
2015-04-17,OpenAI,5.77,0.55,-44.62,,0.49
2015-04-18,OpenAI,5.29,0.71,-28.88,,-0.36
2015-04-19,OpenAI,5.23,0.45,-55.21,,-0.39
2015-04-20,OpenAI,6.08,1.18,18.24,,0.82
2015-04-21,OpenAI,5.04,1.53,53.4,,-0.24
2015-04-22,OpenAI,5.61,1.44,43.81,,0.94
2015-04-23,OpenAI,3.91,0.52,-48.28,,0.96
2015-04-24,OpenAI,5.94,0.57,-42.75,,0.95
2015-04-25,OpenAI,4.12,1.02,1.51,,-0.07
2015-04-26,OpenAI,5.62,1.38,37.74,,-0.63
2015-04-27,OpenAI,4.75,1.71,71.13,,0.03
2015-04-28,OpenAI,4.79,0.35,-64.81,,-0.02
2015-04-29,OpenAI,5.04,0.89,-11.07,,0.19
2015-04-30,OpenAI,4.99,0.71,-28.59,,0.87
2015-05-01,OpenAI,4.3,1.52,52.47,,-0.75
2015-05-02,OpenAI,4.81,0.78,-21.51,,0.52
2015-05-03,OpenAI,5.83,-0.19,-119.29,,-0.91
2015-05-04,OpenAI,5.94,2.14,113.99,,-0.53
2015-05-05,OpenAI,5.78,0.78,-22.16,,0.82
2015-05-06,OpenAI,5.02,0.93,-7.4,,0.98
2015-05-07,OpenAI,5.8,0.82,-18.28,,-0.85
2015-05-08,OpenAI,5.99,0.33,-66.63,,0.98
2015-05-09,OpenAI,4.4,0.48,-52.25,,-0.61
2015-05-10,OpenAI,6.53,1.33,32.95,,0.55
2015-05-11,OpenAI,4.87,1.35,34.82,,0.13
2015-05-12,OpenAI,4.99,1.48,47.83,,0.12
2015-05-13,OpenAI,4.2,0.75,-25.27,,-0.25
2015-05-14,OpenAI,4.47,1.55,54.73,,0.73
2015-05-15,OpenAI,3.3,1.1,10.37,,0.66
2015-05-16,OpenAI,5.91,0.6,-40.26,,-0.2
2015-05-17,OpenAI,5.14,0.09,-91.15,,-0.14
2015-05-18,OpenAI,4.28,0.45,-55.39,,0.16
2015-05-19,OpenAI,4.38,0.41,-59.15,,-0.13
2015-05-20,OpenAI,5.37,1.63,62.84,,-0.61
2015-05-21,OpenAI,5.09,0.71,-28.53,,-0.25
2015-05-22,OpenAI,7.18,1.06,5.84,,0.81
2015-05-23,OpenAI,6.81,1.23,22.83,,0.98
2015-05-24,OpenAI,5.75,1.25,25.48,,-0.26
2015-05-25,OpenAI,3.99,1.08,7.76,,0.15
2015-05-26,OpenAI,5.45,0.69,-30.89,,0.62
2015-05-27,OpenAI,5.0,0.75,-25.19,,-0.96
2015-05-28,OpenAI,5.9,0.86,-14.14,,0.85
2015-05-29,OpenAI,3.81,0.45,-54.89,,0.71
2015-05-30,OpenAI,2.93,1.78,78.32,,-0.1
2015-05-31,OpenAI,4.99,0.62,-37.68,,0.99
2015-06-01,OpenAI,5.98,1.75,75.18,,0.63
2015-06-02,OpenAI,4.46,0.98,-2.02,,-0.63
2015-06-03,OpenAI,5.5,1.09,9.42,,0.06
2015-06-04,OpenAI,4.7,0.88,-11.99,,0.66
2015-06-05,OpenAI,7.41,1.13,12.92,,0.57
2015-06-06,OpenAI,4.99,0.98,-1.68,,-0.17
2015-06-07,OpenAI,5.13,1.33,33.28,,0.17
2015-06-08,OpenAI,4.94,0.39,-61.13,,-0.2
2015-06-09,OpenAI,5.09,0.94,-6.05,,0.61
2015-06-10,OpenAI,6.31,1.06,6.0,,0.22
2015-06-11,OpenAI,5.21,1.71,71.43,,0.07
2015-06-12,OpenAI,4.24,1.55,55.41,,-0.74
2015-06-13,OpenAI,6.84,0.82,-18.41,,-0.75
2015-06-14,OpenAI,5.03,1.55,55.31,,0.05
2015-06-15,OpenAI,6.67,0.57,-43.3,,0.4
2015-06-16,OpenAI,6.01,0.28,-72.28,AI ethics policy update,-1.0
2015-06-17,OpenAI,4.64,0.15,-84.64,,-0.97
2015-06-18,OpenAI,4.75,1.18,18.24,,0.31
2015-06-19,OpenAI,3.76,0.59,-41.31,,0.33
2015-06-20,OpenAI,5.23,0.9,-9.9,,0.1
2015-06-21,OpenAI,4.88,0.89,-11.28,,-0.51
2015-06-22,OpenAI,3.7,0.72,-28.49,,-0.68
2015-06-23,OpenAI,5.67,1.21,20.91,,-0.32
2015-06-24,OpenAI,4.5,0.69,-31.45,,-0.02
2015-06-25,OpenAI,3.84,1.41,40.9,,0.93
2015-06-26,OpenAI,5.59,1.4,39.72,,0.56
2015-06-27,OpenAI,4.39,0.59,-40.69,,0.28
2015-06-28,OpenAI,4.43,1.23,22.86,,0.43
2015-06-29,OpenAI,4.04,0.58,-41.73,,-0.31
2015-06-30,OpenAI,5.54,2.14,113.58,,-0.68
2015-07-01,OpenAI,3.56,1.03,3.29,,0.0
2015-07-02,OpenAI,5.03,1.0,-0.35,,0.93
2015-07-03,OpenAI,3.87,1.15,15.36,,0.16
2015-07-04,OpenAI,5.74,1.23,23.24,,-0.52
2015-07-05,OpenAI,6.15,1.02,2.05,,0.94
2015-07-06,OpenAI,5.93,1.55,55.35,,0.28
2015-07-07,OpenAI,6.16,1.62,61.84,,-0.21
2015-07-08,OpenAI,5.81,0.82,-17.5,,-0.07
2015-07-09,OpenAI,5.66,-0.55,-155.43,,0.7
2015-07-10,OpenAI,4.37,0.78,-22.49,,0.09
2015-07-11,OpenAI,6.1,1.68,67.87,,0.13
2015-07-12,OpenAI,5.24,1.36,35.78,,0.12
2015-07-13,OpenAI,4.69,0.68,-31.83,,-0.29
2015-07-14,OpenAI,3.96,1.16,15.64,,-0.88
2015-07-15,OpenAI,6.18,1.03,3.31,,-0.35
2015-07-16,OpenAI,4.53,0.94,-5.87,,-0.52
2015-07-17,OpenAI,4.48,0.39,-61.08,,0.75
2015-07-18,OpenAI,4.27,1.09,9.08,,-0.72
2015-07-19,OpenAI,5.84,0.88,-12.07,,-0.02
2015-07-20,OpenAI,5.15,1.42,41.61,,0.21
2015-07-21,OpenAI,5.82,0.7,-30.37,,0.48
2015-07-22,OpenAI,4.58,1.27,26.68,,0.08
2015-07-23,OpenAI,6.69,0.45,-54.97,,-0.9
2015-07-24,OpenAI,3.19,0.17,-82.71,,-0.1
2015-07-25,OpenAI,5.23,-0.42,-141.61,,-0.62
2015-07-26,OpenAI,5.25,0.9,-10.09,,0.24
2015-07-27,OpenAI,4.54,0.48,-52.28,,0.59
2015-07-28,OpenAI,6.2,-0.15,-114.87,,0.39
2015-07-29,OpenAI,4.5,0.44,-55.81,,-0.24
2015-07-30,OpenAI,4.31,0.03,-96.6,,0.21
2015-07-31,OpenAI,5.29,1.23,22.75,,0.73
2015-08-01,OpenAI,3.82,-0.06,-106.06,,0.19
2015-08-02,OpenAI,4.62,0.52,-48.11,,0.24
2015-08-03,OpenAI,4.39,0.07,-92.99,,0.71
2015-08-04,OpenAI,6.78,0.45,-54.71,,0.71
2015-08-05,OpenAI,5.39,1.53,53.14,,0.58
2015-08-06,OpenAI,5.16,0.62,-38.41,,-0.64
2015-08-07,OpenAI,5.3,1.31,31.01,,-0.6
2015-08-08,OpenAI,4.42,1.02,1.57,,0.5
2015-08-09,OpenAI,6.8,1.65,64.52,,0.65
2015-08-10,OpenAI,5.33,1.01,0.55,,-0.45
2015-08-11,OpenAI,3.87,1.06,5.67,,0.86
2015-08-12,OpenAI,6.12,1.09,8.67,,-0.68
2015-08-13,OpenAI,5.31,0.96,-3.51,,-0.55
2015-08-14,OpenAI,5.23,0.33,-66.53,,0.98
2015-08-15,OpenAI,3.33,1.34,34.5,,-0.83
2015-08-16,OpenAI,5.19,1.25,25.37,,-0.4
2015-08-17,OpenAI,6.11,1.62,61.93,,-0.97
2015-08-18,OpenAI,5.23,1.85,85.44,,-0.34
2015-08-19,OpenAI,4.91,1.2,19.52,,-0.15
2015-08-20,OpenAI,6.32,1.41,41.04,,0.26
2015-08-21,OpenAI,6.53,1.8,79.79,,0.9
2015-08-22,OpenAI,6.16,1.19,19.21,,0.85
2015-08-23,OpenAI,5.03,0.36,-63.71,,0.09
2015-08-24,OpenAI,5.16,1.47,46.68,,0.35
2015-08-25,OpenAI,4.98,1.36,36.43,,0.54
2015-08-26,OpenAI,4.8,1.47,47.15,,0.86
2015-08-27,OpenAI,4.58,1.39,38.79,,0.56
2015-08-28,OpenAI,5.26,1.09,8.53,,0.87
2015-08-29,OpenAI,4.31,1.41,41.01,,0.3
2015-08-30,OpenAI,6.84,1.02,1.67,,-0.43
2015-08-31,OpenAI,5.87,0.73,-27.44,,-0.48
2015-09-01,OpenAI,5.78,1.71,70.79,,0.79
2015-09-02,OpenAI,4.94,1.53,53.1,,-0.11
2015-09-03,OpenAI,6.57,0.45,-54.84,,0.89
2015-09-04,OpenAI,6.81,1.35,35.13,AI-powered search update,2.08
2015-09-05,OpenAI,2.79,1.18,17.55,,0.44
2015-09-06,OpenAI,4.54,1.35,35.37,,0.57
2015-09-07,OpenAI,5.35,1.47,46.79,,-0.18
2015-09-08,OpenAI,3.88,0.74,-25.76,,0.05
2015-09-09,OpenAI,5.97,0.74,-25.72,,-0.77
2015-09-10,OpenAI,6.22,0.89,-10.92,,0.17
2015-09-11,OpenAI,4.08,0.16,-83.52,,0.91
2015-09-12,OpenAI,5.39,0.73,-26.59,,0.66
2015-09-13,OpenAI,5.28,1.23,22.79,,0.92
2015-09-14,OpenAI,5.39,1.36,35.72,,0.12
2015-09-15,OpenAI,5.65,0.83,-17.36,,-0.65
2015-09-16,OpenAI,4.66,0.75,-24.57,,-0.89
2015-09-17,OpenAI,3.13,0.69,-30.66,,-0.16
2015-09-18,OpenAI,4.61,0.6,-39.9,,0.89
2015-09-19,OpenAI,7.13,1.08,8.42,,-0.97
2015-09-20,OpenAI,4.86,1.27,27.06,,0.05
2015-09-21,OpenAI,7.14,1.21,20.6,,0.56
2015-09-22,OpenAI,5.73,0.48,-51.99,,0.66
2015-09-23,OpenAI,3.84,1.52,51.85,,0.17
2015-09-24,OpenAI,6.87,1.09,8.63,,-0.97
2015-09-25,OpenAI,3.45,1.19,19.32,,-0.06
2015-09-26,OpenAI,5.56,0.36,-63.61,,0.46
2015-09-27,OpenAI,5.31,1.61,61.08,,0.98
2015-09-28,OpenAI,5.49,1.31,30.88,,-0.77
2015-09-29,OpenAI,4.01,0.53,-47.12,,-0.08
2015-09-30,OpenAI,5.13,0.64,-36.25,,0.64
2015-10-01,OpenAI,4.55,0.67,-33.26,,0.04
2015-10-02,OpenAI,5.93,0.14,-85.67,,0.38
2015-10-03,OpenAI,5.59,1.04,3.66,,0.26
2015-10-04,OpenAI,4.02,0.19,-81.31,,0.25
2015-10-05,OpenAI,4.36,1.42,42.09,,-0.66
2015-10-06,OpenAI,4.91,1.03,2.54,,-0.68
2015-10-07,OpenAI,3.89,0.14,-85.99,,-0.76
2015-10-08,OpenAI,4.07,1.06,5.8,,-0.27
2015-10-09,OpenAI,4.74,1.97,96.71,,-0.89
2015-10-10,OpenAI,6.23,1.28,28.09,,0.57
2015-10-11,OpenAI,4.11,0.93,-7.08,,-0.25
2015-10-12,OpenAI,6.35,1.35,35.19,,-0.84
2015-10-13,OpenAI,6.75,0.61,-39.11,,-0.44
2015-10-14,OpenAI,3.36,1.7,70.41,,-0.19
2015-10-15,OpenAI,4.83,1.14,13.99,,0.09
2015-10-16,OpenAI,6.53,1.54,53.92,,-0.65
2015-10-17,OpenAI,3.32,0.95,-4.73,,0.2
2015-10-18,OpenAI,6.47,1.79,79.15,,-0.77
2015-10-19,OpenAI,5.98,1.37,36.79,,0.64
2015-10-20,OpenAI,5.19,0.99,-0.97,,-0.4
2015-10-21,OpenAI,5.77,0.9,-9.91,,-0.61
2015-10-22,OpenAI,5.82,1.16,16.27,,-0.68
2015-10-23,OpenAI,5.32,0.26,-74.08,,-0.44
2015-10-24,OpenAI,4.44,1.28,27.53,,-0.87
2015-10-25,OpenAI,5.95,1.69,68.98,,0.26
2015-10-26,OpenAI,5.63,1.19,18.55,,0.89
2015-10-27,OpenAI,5.26,1.23,23.32,,-0.15
2015-10-28,OpenAI,6.59,0.84,-15.87,,0.13
2015-10-29,OpenAI,4.03,0.32,-67.98,,0.68
2015-10-30,OpenAI,3.8,1.05,5.05,,-0.81
2015-10-31,OpenAI,6.98,1.11,11.45,,0.23
2015-11-01,OpenAI,5.69,0.59,-40.89,,-0.23
2015-11-02,OpenAI,5.81,0.79,-20.95,,0.05
2015-11-03,OpenAI,5.86,0.27,-72.67,,-0.71
2015-11-04,OpenAI,6.3,0.45,-54.75,,-0.15
2015-11-05,OpenAI,3.76,0.47,-52.95,,-0.69
2015-11-06,OpenAI,5.76,0.68,-31.94,,0.38
2015-11-07,OpenAI,5.17,0.97,-2.77,,-0.3
2015-11-08,OpenAI,4.55,1.79,78.59,,0.05
2015-11-09,OpenAI,5.42,0.26,-73.82,,0.49
2015-11-10,OpenAI,5.65,1.48,48.0,,-0.6
2015-11-11,OpenAI,6.49,0.85,-15.36,,0.44
2015-11-12,OpenAI,7.26,1.03,3.16,,0.01
2015-11-13,OpenAI,6.07,0.78,-22.33,,-0.6
2015-11-14,OpenAI,5.62,0.86,-14.43,,0.11
2015-11-15,OpenAI,5.84,0.69,-31.4,AI Ads Optimization upgrade,3.92
2015-11-16,OpenAI,5.05,0.74,-25.94,,-0.47
2015-11-17,OpenAI,3.5,0.99,-0.78,,0.96
2015-11-18,OpenAI,3.45,0.84,-15.82,,0.81
2015-11-19,OpenAI,3.86,1.07,7.1,,-0.62
2015-11-20,OpenAI,6.91,0.87,-12.65,,-0.38
2015-11-21,OpenAI,5.05,1.61,61.18,,0.11
2015-11-22,OpenAI,5.01,1.03,3.1,,0.63
2015-11-23,OpenAI,4.48,1.23,22.71,Cloud AI launch,3.73
2015-11-24,OpenAI,4.7,1.15,15.42,AI partnership deal,-2.02
2015-11-25,OpenAI,4.85,1.3,30.16,,0.48
2015-11-26,OpenAI,4.48,0.63,-37.48,,0.99
2015-11-27,OpenAI,4.1,1.81,81.33,,-0.48
2015-11-28,OpenAI,4.72,1.69,69.33,,0.01
2015-11-29,OpenAI,3.65,0.84,-16.14,,0.29
2015-11-30,OpenAI,6.28,1.32,31.62,,-0.43
2015-12-01,OpenAI,4.05,1.19,19.45,,0.02
2015-12-02,OpenAI,5.55,0.72,-27.77,,-0.41
2015-12-03,OpenAI,3.11,0.31,-68.81,,-0.74
2015-12-04,OpenAI,6.41,0.59,-41.18,,-0.59
2015-12-05,OpenAI,2.88,1.19,19.42,,0.36
2015-12-06,OpenAI,4.27,0.58,-41.63,,0.94
2015-12-07,OpenAI,4.08,2.03,102.61,,0.2
2015-12-08,OpenAI,3.16,1.72,72.26,,-0.71
2015-12-09,OpenAI,6.25,0.86,-14.26,,-0.66
2015-12-10,OpenAI,4.67,1.44,43.65,,0.98
2015-12-11,OpenAI,5.27,1.35,34.55,,-0.07
2015-12-12,OpenAI,5.42,0.04,-96.29,,0.0
2015-12-13,OpenAI,4.1,1.23,22.75,,-0.3
2015-12-14,OpenAI,5.92,0.91,-9.07,,-1.0
2015-12-15,OpenAI,4.89,1.04,4.18,,-0.82
2015-12-16,OpenAI,4.87,0.78,-21.58,,-0.25
2015-12-17,OpenAI,5.5,0.76,-23.99,,-0.25
2015-12-18,OpenAI,4.84,0.74,-26.01,,-0.27
2015-12-19,OpenAI,6.38,1.09,8.99,,0.62
2015-12-20,OpenAI,4.91,0.42,-57.6,,0.72
2015-12-21,OpenAI,6.23,1.51,50.98,,0.67
2015-12-22,OpenAI,5.81,1.26,25.83,,0.98
2015-12-23,OpenAI,5.85,0.68,-31.67,,0.81
2015-12-24,OpenAI,5.95,0.69,-31.25,,-0.68
2015-12-25,OpenAI,5.66,1.9,90.11,,0.08
2015-12-26,OpenAI,2.92,1.65,65.06,,0.0
2015-12-27,OpenAI,4.95,0.92,-8.29,,-0.22
2015-12-28,OpenAI,6.78,0.2,-80.19,,-0.93
2015-12-29,OpenAI,5.74,1.19,18.62,,0.35
2015-12-30,OpenAI,6.04,0.78,-21.61,,-0.76
2015-12-31,OpenAI,3.49,0.7,-29.53,,0.34
2016-01-01,OpenAI,5.65,1.14,13.67,,0.68
2016-01-02,OpenAI,3.66,1.42,42.19,,0.25
2016-01-03,OpenAI,6.26,1.04,3.9,,0.97
2016-01-04,OpenAI,5.37,1.56,55.99,,-0.95
2016-01-05,OpenAI,6.73,1.71,71.37,,0.81
2016-01-06,OpenAI,4.39,1.23,23.2,,0.44
2016-01-07,OpenAI,4.96,1.47,47.13,,0.04
2016-01-08,OpenAI,5.01,0.76,-23.51,,-0.83
2016-01-09,OpenAI,5.54,1.87,87.2,,-0.3
2016-01-10,OpenAI,5.11,1.29,28.82,,-0.01
2016-01-11,OpenAI,4.97,1.48,47.57,,0.09
2016-01-12,OpenAI,5.63,1.6,59.82,,0.64
2016-01-13,OpenAI,5.6,0.74,-26.18,,-0.21
2016-01-14,OpenAI,4.01,1.17,16.67,,0.84
2016-01-15,OpenAI,4.09,1.83,82.9,,0.84
2016-01-16,OpenAI,5.64,0.85,-15.31,,0.68
2016-01-17,OpenAI,5.02,1.1,10.17,,0.69
2016-01-18,OpenAI,3.45,0.77,-23.18,,-0.28
2016-01-19,OpenAI,4.37,1.27,26.68,,-0.3
2016-01-20,OpenAI,5.61,1.44,43.68,,0.09
2016-01-21,OpenAI,5.64,-0.11,-110.58,,-0.68
2016-01-22,OpenAI,4.9,1.36,36.5,,0.41
2016-01-23,OpenAI,5.78,0.93,-7.33,,0.64
2016-01-24,OpenAI,4.96,1.36,36.31,,0.11
2016-01-25,OpenAI,6.87,0.75,-24.91,,0.54
2016-01-26,OpenAI,4.16,1.71,71.39,,-0.68
2016-01-27,OpenAI,5.19,0.73,-26.69,AI-powered search update,2.17
2016-01-28,OpenAI,3.01,1.22,22.5,,-0.62
2016-01-29,OpenAI,5.71,0.65,-34.69,,-0.77
2016-01-30,OpenAI,5.78,0.74,-25.78,,-0.39
2016-01-31,OpenAI,5.95,1.36,35.97,,0.17
2016-02-01,OpenAI,5.5,1.14,13.83,,0.13
2016-02-02,OpenAI,6.87,1.04,3.97,,-0.01
2016-02-03,OpenAI,5.63,0.14,-85.65,,-0.32
2016-02-04,OpenAI,6.08,1.59,58.92,,0.67
2016-02-05,OpenAI,5.37,0.31,-69.09,,0.56
2016-02-06,OpenAI,6.85,0.61,-39.4,,-0.56
2016-02-07,OpenAI,4.85,0.31,-68.7,,-0.93
2016-02-08,OpenAI,5.61,0.42,-57.53,,-0.66
2016-02-09,OpenAI,3.99,0.55,-45.46,,-0.23
2016-02-10,OpenAI,6.08,1.68,67.79,,0.46
2016-02-11,OpenAI,6.64,2.0,100.27,,0.46
2016-02-12,OpenAI,5.05,1.3,29.79,,-0.71
2016-02-13,OpenAI,4.83,2.09,109.42,,-0.99
2016-02-14,OpenAI,5.32,1.53,52.85,,-0.24
2016-02-15,OpenAI,5.37,1.19,19.1,,-0.74
2016-02-16,OpenAI,4.97,1.04,4.41,Cloud AI launch,1.49
2016-02-17,OpenAI,5.33,1.49,48.9,,-0.37
2016-02-18,OpenAI,6.63,1.05,5.32,,-1.0
2016-02-19,OpenAI,6.66,1.88,88.3,,-0.41
2016-02-20,OpenAI,7.34,1.21,21.21,,0.38
2016-02-21,OpenAI,6.39,1.68,68.5,,0.85
2016-02-22,OpenAI,4.41,0.9,-10.11,,-0.34
2016-02-23,OpenAI,4.54,1.23,23.07,,0.05
2016-02-24,OpenAI,4.23,1.88,88.11,,-0.48
2016-02-25,OpenAI,4.95,1.97,96.64,,0.59
2016-02-26,OpenAI,5.26,0.35,-65.1,,-0.11
2016-02-27,OpenAI,6.59,0.5,-49.93,,-0.69
2016-02-28,OpenAI,4.7,0.1,-90.32,,0.47
2016-02-29,OpenAI,7.48,1.29,28.67,AI-powered search update,4.66
2016-03-01,OpenAI,4.5,1.53,52.72,,-0.27
2016-03-02,OpenAI,5.62,0.91,-8.74,,-0.09
2016-03-03,OpenAI,6.15,1.3,30.11,,0.19
2016-03-04,OpenAI,4.18,1.21,21.18,,0.38
2016-03-05,OpenAI,5.42,1.61,60.53,,0.46
2016-03-06,OpenAI,3.59,0.86,-14.48,,-0.85
2016-03-07,OpenAI,5.97,0.55,-45.28,,0.53
2016-03-08,OpenAI,3.46,2.47,146.82,,0.27
2016-03-09,OpenAI,6.02,0.84,-16.03,,0.78
2016-03-10,OpenAI,6.85,1.49,48.91,,0.39
2016-03-11,OpenAI,4.73,1.62,62.0,,-0.11
2016-03-12,OpenAI,4.84,1.17,17.42,,0.86
2016-03-13,OpenAI,6.12,1.96,96.41,,0.15
2016-03-14,OpenAI,5.34,0.97,-3.2,,-0.59
2016-03-15,OpenAI,5.63,1.37,37.15,,0.98
2016-03-16,OpenAI,5.85,1.08,8.23,,0.02
2016-03-17,OpenAI,4.63,1.73,72.62,,-0.56
2016-03-18,OpenAI,4.95,1.35,35.39,,0.29
2016-03-19,OpenAI,4.41,0.83,-17.43,,-0.24
2016-03-20,OpenAI,4.44,1.18,17.77,,0.01
